glacier_name,CW2,Glacier_ID,Heightfromglacier,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean_10km,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,Mean_elev,localtime,rel_heightfromglacier,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Kalapathar,0.940018648,RGI2000-v7.0-G-15-08331,299,RGI60-15.03733,0.9,27.99,86.83,1.963521594,1.03755884,0.464163449,25,1.36,568,2665,4480,110.3136415,441.5570944,679.7527753,0.511969373,0.145310308,0.08020885,23.56,5600,7981,4879,5734.527778,0.23243069,3102,0.167259786,18.546,1.420791545,26.35,0.647039793,12,0.547738693,1.302,15.88784819,1.03755884,0.481596889,0.291675913,0.879146375,0.121655335,15.88784819,1.584507042,0.337711069,0.200892857,8.158555803,2.038241513,1.324010777,5613.486507,1,0.066741071,0.872955198,-0.483964284,457,0.483964284
Kennikot,6.514476615,RGI2000-v7.0-G-01-05740,0,RGI60-01.15645,2,61.4841,-142.9283,1.972768192,0.209316084,0,344,5.37,692.5,2375.115385,2998.153846,143.689898,462.4589887,548.5580806,0.011215411,0.03950388,0.035434792,154,657,4952,407,950.1544304,0.055005501,4545,0.101224944,44.9,2,89.8,0.870824053,39.1,0.042085661,0.226,25.34660015,0.209316084,0,10.71303292,0.862527212,10.4745373,25.34660015,1.428406556,0.385647257,0.295700668,7.600787294,2.051643656,1.589629449,619.8170305,1,0,0.896652189,0.44044663,82,0.44044663
Langenferner,0.67298546,RGI2000-v7.0-G-11-02875,17,RGI60-11.01776,0.33,46.47245,10.61391,3.366824183,0,0,250,1,606,1948,2268,140.9387489,317.7343381,393.3644593,0.381738864,0.180550081,0.04542547,32,2954.449045,3399,2671,2764.43149,0.389353084,728,0.248125426,2.934,0.737184731,2.1629,0.604976142,1.775,0.253101,0.253101,19.23615778,0,0.103757693,6.545825026,0.761374842,4.02677604,19.23615778,0.544554455,0.169404517,0.145502646,2.341442666,1.038603514,0.838916664,2889.693225,1,0.007495591,0.141536362,0.661540232,332,0.661540232
Lirung,0.493054548,RGI2000-v7.0-G-15-05739,89,RGI60-15.04045,0.361273,28.24,85.56,0.959412022,0.302542103,0.760418401,303,0.922,1057,3719,4134,220.995139,796.7163421,694.6825339,0.300999996,0.229724028,0.134351405,32.48,4275.60443,7216,3988,4887.102571,0.089096787,3228,0.376662777,8.57,0.558459743,4.786,0.692415403,5.934,0.304772234,0.281,14.76221421,0.302542103,0.230058582,5.492396093,0.837769605,8.090422218,14.76221421,0.341790918,0.097142511,0.087390663,1.634755414,0.453452479,0.52005482,4844.801714,1,0.021528786,0.922309493,-0.508837024,186,0.542416891
Morimoto,0.301721993,RGI2000-v7.0-G-15-05844,85,RGI60-15.04036,0.209,28.25296,85.68152,1.992633634,0.743286846,0.623128122,132,0.706,719,2400,2985,136.9221394,432.5900742,519.0526809,0.367858957,0.170288047,0.03600416,22,4925,5914,4689,5250.147881,0.192653061,1225,0.263610932,4.647,0.296965784,1.38,0.611146977,2.84,0.283286119,0.2,16.47690275,0.743286846,0.463162936,1.491009619,0.834955278,3.393518318,16.47690275,0.290681502,0.087083333,0.07001675,1.526414946,0.483136374,0.402656624,5116.441575,1,0.028475712,0.842409515,0.658394559,365,0.658394559
Place1,0.948610217,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,0.922,50.426073,-122.601628,2.966269777,0.051889158,0,160,1.25,586,1937,2412,120.7878241,397.9409232,556.8838212,0.111811995,0.11994455,0.093922232,11.83,1970.368254,2560,1839,1471.968149,0.182202849,721,0.188694059,3.821,0.789060455,3.015,0.761319026,2.909,0.0056,0.007,22.80287048,0.051889158,0,10.71140999,0.767711231,4.724373731,22.80287048,1.57337884,0.475993805,0.38225539,7.633219713,2.316926826,1.655641563,1742.979446,1,0,0.932646594,0.766282249,206,0.766282249
Place2,1.37196998,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,1.301,50.421835,-122.598482,3.095600666,0.050669071,0.637429684,160,1.48,519,1782,2413,97.82099123,350.3251708,552.3666978,0.069999218,0.101570011,0.093922232,11.83,2024.669841,2560,1839,1464.997708,0.257517117,721,0.188694059,3.821,0.789060455,3.015,0.639884847,2.445,0.133783784,0.198,22.80287048,0.050669071,0.03229797,10.52828404,0.747199921,4.4942866,22.80287048,2.506743738,0.730078563,0.539162868,13.29980389,3.713692616,2.355319401,1792.691879,1,0,0.920765697,0.67560163,266,0.67560163
Place3,1.039443002,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,1,50.414718,-122.600217,3.200515495,0.054077859,1.203120735,160,1.32,520,1663,2433,115.7764842,325.5521475,555.7249856,0.180839997,0.077634811,0.093922232,11.83,2095,2560,1839,1438.577127,0.355062413,721,0.188694059,3.821,0.789060455,3.015,0.530489401,2.027,0.319006818,0.421089,22.80287048,0.054077859,0.065062193,11.10217879,0.770075134,5.195587322,22.80287048,1.923076923,0.60132291,0.411015208,8.637332589,3.071704511,1.799451214,1864.744804,1,0,0.956199805,0.616582168,241,0.616582168
Place4,0.747593314,RGI2000-v7.0-G-02-07366,0,RGI60-02.01104,0.649,50.412846,-122.615898,2.953414762,0.05585709,2.744763694,42,0.649,516,1999,2443,101.8814583,405.0623289,569.7287439,0.142651108,0.208300111,0.093922232,11.83,2330,2560,1839,1399.012588,0.680998613,721,0.188694059,3.821,0.789060455,3.015,0.226903952,0.867,0.035439137,0.023,22.80287048,0.05585709,0.153314512,11.09956025,0.760946272,4.282555632,22.80287048,1.257751938,0.324662331,0.265656979,6.370148316,1.602222556,1.139138593,1883.821416,1,0,0.75184136,-0.514523852,189,0.514523852
Pyramid,0.731922917,RGI2000-v7.0-G-15-08331,114,RGI60-15.03733,0.8,27.95792,86.814807,1.958641041,0.265952027,6.303172641,23,1.52,615,2113,3790,132.6398477,319.0738635,598.3636061,0.862444527,0.177327198,0.08020885,23.56,5050,7981,4879,5434.305915,0.055125725,3102,0.167259786,18.546,1.420791545,26.35,0.819314138,15.195,0.957037037,0.879,15.88784819,0.265952027,1.67634154,1.043231634,0.85063077,2.122266228,15.88784819,1.300813008,0.378608613,0.211081794,6.031370013,2.507256443,1.336979709,5242.669441,0,0.030079156,0.653019635,-0.639928691,473,0.639928691
Satopanth,0.834902345,RGI2000-v7.0-G-15-00882,0,RGI60-15.07122,0.750868,30.773251,79.408794,1.191695766,0.556972328,0.32825367,247,0.974,678,3159,3729,142.6107902,544.432349,681.692267,0.219064906,0.088340241,0.124894259,19.7,3909.812698,7056,3755,4712.288884,0.046898727,3301,0.164179847,20.106,2.83696409,57.04,0.67159057,13.503,0.043514374,0.042383,23.02176424,0.556972328,0.182828211,5.646104839,0.795090321,9.704059736,23.02176424,1.107474926,0.237691675,0.201359078,5.265155595,1.379175946,1.101476482,4641.236603,1,0,0.798921936,0.035696188,92,0.722276019
Schiaparelli,1.591182481,RGI2000-v7.0-G-17-15343,0,RGI60-17.03160,1.312,-54.4,-70.87,3.915630097,0.40056107,0.727146401,90,2.05,432,1852,2178,65.22922937,334.7193623,372.2978877,0.060335231,0.096180701,0.033154452,13.85,196.5348101,1953,4.79,327.3394232,0.098421017,1948.21,0.179873511,10.831,2.288828363,24.7903,0.850336996,9.21,0.174910732,0.358567,6.91114226,0.40056107,0.291266541,6.962984169,5.523488849,7.145943227,6.91114226,3.037037037,0.708423326,0.602387511,20.11368236,3.91970154,3.524059747,423.0936469,0,0,0.985003928,-0.083131717,586,0.103817395
Southcol,0.491730407,RGI2000-v7.0-G-15-08331,0,RGI60-15.03733,1,27.9719,86.9295,3.00697017,0.072185499,0,257,1.04,1260,3640,4097,248.6053557,842.1856064,758.7913968,0.530210257,0.295326484,0.08141589,23.56,7905,7981,4879,6003.07342,0.975499678,3102,0.167259786,18.546,1.420791545,26.35,0.017308314,0.321,1.023076923,1.064,15.88784819,0.072185499,0,-7.158446983,0.811718649,-13.41720243,15.88784819,0.793650794,0.274725275,0.244081035,4.022439489,1.187386714,1.317885264,6603.480613,0,0,0.796222844,0.151214945,419,0.151214945
Trakarding,1.795847557,RGI2000-v7.0-G-15-08533,0,,0.29821,27.843,86.487,1.604359911,0.492880579,1.565573334,52,0.718,594,2471,3018,136.3780582,430.8702658,514.7052085,0.363928506,0.324721133,0.121461933,16.99,4820.895238,6677,4545,5252.826697,0.129406772,2132,0.119312776,17.869,1.795847557,32.09,0.981308411,17.535,0.908300836,0.65216,13.99930349,0.492880579,0.771640691,5.397511577,0.752186069,4.58364122,13.99930349,0.502037037,0.120683934,0.098810471,2.186642074,0.692110883,0.579380187,5297.782173,1,0,0.896206851,0.253487774,487,0.297959242
Weart1,1.327799967,RGI2000-v7.0-G-02-07402,0,RGI60-02.00651,1.175,50.155944,-122.760257,3.451063662,0.07649116,2.98526212,200,1.64,493,1537,2461,89.08393535,250.2981074,458.4479787,0.136252262,0.106136563,0.075623989,11.88,2164.47619,2759,1655,1763.393993,0.461482056,1104,0.169767799,6.503,1.247270491,8.111,0.57050592,3.71,0.108536585,0.178,21.41901511,0.07649116,0.228346162,10.88375111,0.590052812,4.034794799,21.41901511,2.38336714,0.764476252,0.477448192,13.18980796,4.694402256,2.562995268,2172.181107,1,0,0.908241455,0.897407948,58,0.897407948
Weart2,0.75,RGI2000-v7.0-G-02-07402,0,RGI60-02.00651,0.7833,50.138823,-122.775232,2.462002315,0.099253663,2.030477795,200,1.45,557,1759,2417,96.9336803,336.4668704,464.1533191,0.271143132,0.112143755,0.075623989,11.88,2298.203822,2759,1655,1782.265945,0.582612158,1104,0.169767799,6.503,1.247270491,8.111,0.227433492,1.479,0.05032,0.072964,21.41901511,0.099253663,0.201532359,8.395314552,0.62058038,4.754818673,21.41901511,1.406283662,0.445309835,0.324079437,8.08078263,2.328015234,1.687588923,2097.221578,1,0,0.825054524,0.506855882,58,0.506855882
Weissee,0.56680876,RGI2000-v7.0-G-11-03239,0,RGI60-11.00770,0.63,46.872909,10.714437,1.867991068,0.149126933,0.404041262,85,0.63,598,1756,2073,130.7809806,323.0958214,375.1742361,0.199219833,0.204736891,0.052710766,353,3507,3486,2113,2701.89658,1.015294975,1373,0.175508117,7.823,2.137568708,16.7222,0.018151604,0.142,0.044444444,0.028,20.45475584,0.149126933,0.060253434,3.256495198,0.742220173,7.51057907,20.45475584,1.053511706,0.358769932,0.303907381,4.817214224,1.949885942,1.679219785,2694.266927,1,0,0.87748889,0.068319814,243,0.304747427
Yala,2.184,RGI2000-v7.0-G-15-05917,0,RGI60-15.03954,0.648,28.23,85.62,1.1066266,0.044596524,3.394276219,36,0.648,661,2862,3296,156.4211878,604.3563476,585.4899419,0.280691084,0.29706502,0.057457383,22.72,5213.642405,5644,5080,5007.32137,0.236954619,564,0.258241758,2.184,0.94047619,2.054,0.22481685,0.491,0.433875,0.281151,14.76221421,0.044596524,0.151372922,1.689237765,0.815173018,1.208229184,14.76221421,0.980332829,0.226415094,0.196601942,4.142661292,1.072215097,1.106765383,4890.838812,1,0,0.265431367,0.343787242,464,0.381350466
