glacier_name,Glacier_ID,RGI6_ID,CW1,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,data_length_days
Place2,RGI2000-v7.0-G-02-07366,RGI60-02.01104,,50.421835,-122.598482,3.095600666,0.048874324,1.502945932,160,1.48,519,1782,2413,97.82099123,350.3251708,552.3666978,0.069999218,0.101570011,0.093922232,11.83,2024.669841,2560,1839.0,1464.997708,0.257517117,721.0,188.6940591,3.821,0.789060455,3.015,0.639884847,2.445,0.133783784,0.198,22.80287048,0.048874324,-0.073455466,11.07998458,0.74707373,4.4942866,22.80287048,0.002851638,0.000830527,0.000613344,0.015129677,0.004224646,0.002679379,266
Place3,RGI2000-v7.0-G-02-07366,RGI60-02.01104,,50.414718,-122.600217,3.200515495,0.049350833,2.248676201,160,1.32,520,1663,2433,115.7764842,325.5521475,555.7249856,0.180839997,0.077634811,0.093922232,11.83,2095.0,2560,1839.0,1438.577127,0.355062413,721.0,188.6940591,3.821,0.789060455,3.015,0.530489401,2.027,0.319006818,0.421089,22.80287048,0.049350833,-0.110974043,11.66051629,0.770158292,5.195587322,22.80287048,0.002538462,0.000793746,0.00054254,0.011401279,0.00405465,0.002375276,241
Place4,RGI2000-v7.0-G-02-07366,RGI60-02.01104,,50.412846,-122.615898,2.953414762,0.045018479,4.162930104,42,0.649,516,1999,2443,101.8814583,405.0623289,569.7287439,0.142651108,0.208300111,0.093922232,11.83,2330.0,2560,1839.0,1399.012588,0.680998613,721.0,188.6940591,3.821,0.789060455,3.015,0.226903952,0.867,0.035439137,0.023,22.80287048,0.045018479,-0.18740878,12.11855513,0.760888839,4.282555632,22.80287048,0.001257752,0.000324662,0.000265657,0.006370148,0.001602223,0.001139139,189
Pyramid,RGI2000-v7.0-G-15-08331,RGI60-15.03733,,27.99,86.83,2.02148696,0.516872119,1.497276044,30,1.35,568,2665,4480,110.3136415,441.5570944,679.7527753,0.511969373,0.145310308,0.08020885,23.56,5410.542857,7981,4879.0,5734.527778,0.171354886,3102.0,167.2597865,18.546,1.420791545,26.35,0.638466516,11.841,0.957037037,1.292,15.88784819,0.516872119,-0.773900241,0.289305109,0.878175893,2.515215853,15.88784819,0.002376761,0.000506567,0.000301339,0.012237834,0.003057362,0.001986016,1171
Satopanth,RGI2000-v7.0-G-15-00882,RGI60-15.07122,,30.773251,79.408794,1.191695766,0.470810618,0.115647064,247,0.974,678,3159,3729,142.6107902,544.432349,681.692267,0.219064906,0.088340241,0.124894259,19.7,3909.812698,7056,3755.0,4712.288884,0.046898727,3301.0,164.1798468,20.106,2.83696409,57.04,0.67159057,13.503,0.043514374,0.042383,23.02176424,0.470810618,-0.054447866,2.342880954,0.795090321,9.704059736,23.02176424,0.001436578,0.000308325,0.000261196,0.006829778,0.001789019,0.001428797,92
Schiaparelli,RGI2000-v7.0-G-17-15343,RGI60-17.03160,,-54.4,-70.87,3.904934919,0.404703915,0.748637412,90,2.05,432,1852,2178,65.22922937,334.7193623,372.2978877,0.060335231,0.096180701,0.033154452,13.85,196.5348101,1953,4.79,327.3394232,0.098421017,1948.21,179.8735112,10.831,2.288828363,24.7903,0.850336996,9.21,0.174910732,0.358567,6.91114226,0.404703915,-0.302976492,6.270980774,5.522759615,7.15007539,6.91114226,0.00474537,0.001106911,0.00094123,0.031427629,0.006124534,0.005506343,581
Southcol,RGI2000-v7.0-G-15-08331,RGI60-15.03733,,27.9719,86.9295,2.995516751,0.079802943,-0.646924288,257,1.04,1260,3640,4097,248.6053557,842.1856064,758.7913968,0.530210257,0.295326484,0.08141589,23.56,7905.0,7981,4879.0,6003.07342,0.975499678,3102.0,167.2597865,18.546,1.420791545,26.35,0.017308314,0.321,1.023076923,1.064,15.88784819,0.079802943,0.051626462,-1.541035886,0.810962081,-13.37092673,15.88784819,0.000825397,0.000285714,0.000253844,0.004183337,0.001234882,0.001370601,416
Trakarding,RGI2000-v7.0-G-15-08533,,,27.843,86.487,1.604359911,0.467588695,1.47500911,52,0.718,594,2471,3018,136.3780582,430.8702658,514.7052085,0.363928506,0.324721133,0.121461933,16.99,4820.895238,6677,4545.0,5252.826697,0.129406772,2132.0,119.3127763,17.869,1.795847557,32.09,0.981308411,17.535,0.908300836,0.65216,13.99930349,0.467588695,-0.689697584,3.270675522,0.752186069,4.58364122,13.99930349,0.001208754,0.000290571,0.000237906,0.005264777,0.001666395,0.001394973,487
Vernatferner,RGI2000-v7.0-G-11-03124,RGI60-11.00719,,46.868939,10.802986,3.408484848,-0.054054317,-0.65599398,308,1.19,562,1641,2015,122.3663553,281.5845302,369.2369038,0.25172382,0.155879479,0.052710766,154.0,3066.0,3574,2794.0,2782.912142,0.348717949,780.0,258.4493042,3.018,2.836315441,8.56,0.581510934,1.755,0.357142857,0.425,19.65108953,-0.054054317,-0.035459307,2.343865494,0.784017346,-1.776236136,19.65108953,0.002117438,0.000725168,0.000590571,0.009724895,0.004226084,0.003222863,56
Weart1,RGI2000-v7.0-G-02-07402,RGI60-02.00651,,50.155944,-122.760257,3.451063662,0.057413349,4.788533654,200,1.64,493,1537,2461,89.08393535,250.2981074,458.4479787,0.136252262,0.106136563,0.075623989,11.88,2164.47619,2759,1655.0,1763.393993,0.461482056,1104.0,169.7677995,6.503,1.247270491,8.111,0.57050592,3.71,0.108536585,0.178,21.41901511,0.057413349,-0.274925755,10.82744412,0.589627195,4.034794799,21.41901511,0.003326572,0.001067014,0.000666396,0.018409604,0.006552187,0.003577287,58
Weart2,RGI2000-v7.0-G-02-07402,RGI60-02.00651,,50.138823,-122.775232,2.462002315,0.085393645,2.963515397,200,1.45,557,1759,2417,96.9336803,336.4668704,464.1533191,0.271143132,0.112143755,0.075623989,11.88,2298.203822,2759,1655.0,1782.265945,0.582612158,1104.0,169.7677995,6.503,1.247270491,8.111,0.227433492,1.479,0.05032,0.072964,21.41901511,0.085393645,-0.25306538,9.0857276,0.620433208,4.754818673,21.41901511,0.002603232,0.000824332,0.000599917,0.014958681,0.004309488,0.003123968,58
Weissee,RGI2000-v7.0-G-11-03239,RGI60-11.00770,,46.872909,10.714437,3.623644338,-0.158322948,-0.709330965,85,0.63,598,1756,2073,130.7809806,323.0958214,375.1742361,0.199219833,0.204736891,0.052710766,353.0,3507.0,3486,2113.0,2701.89658,1.015294975,1373.0,175.5081171,7.823,2.137568708,16.7222,0.018151604,0.142,0.044444444,0.028,20.45475584,-0.158322948,-0.112303369,2.880352907,0.718197611,0.338149799,20.45475584,0.001053512,0.00035877,0.000303907,0.004817214,0.001949886,0.00167922,122
Yala,RGI2000-v7.0-G-15-05917,RGI60-15.03954,,28.23,85.62,1.1066266,0.045668389,3.47234691,36,0.648,661,2862,3296,156.4211878,604.3563476,585.4899419,0.280691084,0.29706502,0.057457383,22.72,5213.642405,5644,5080.0,5007.32137,0.236954619,564.0,258.2417582,2.184,0.94047619,2.054,0.22481685,0.491,0.433875,0.281151,14.76221421,0.045668389,-0.158576491,3.064355971,0.815173018,1.208229184,14.76221421,0.000980333,0.000226415,0.000196602,0.004142661,0.001072215,0.001106765,464
