glacier_name,CW2,Glacier_ID,RGI6_ID,CW,lat,lon,mean_wind_obs,sensitivity,delay,Down_glacier_direction,channel_width_100m_from_lowest_point,relief_1km,relief_5km,relief_10km,stddev_1km,stddev_5km,stddev_10km,Slope_100m,Slope_1km,Slope_10km,rgi_slope,station_z,Z_max,Z_min,Z_mean,rel_Z,Z_range,Slope_mean,glacier_length,glacier_width,glacier_area,rel_distancefromhead,Distance from head,rel_distancefromcenterline,Distance from centerline,continentality,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,aspect_ratio_relief_1,aspect_ratio_relief_5,aspect_ratio_relief_10,aspect_ratio_stddev_1,aspect_ratio_stddev_5,aspect_ratio_stddev_10,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Kennikot,6.514476615,RGI2000-v7.0-G-01-05740,RGI60-01.15645,4.56,61.4841,-142.9283,1.972768192,0.209231926,-0.087470726,344,5.37,115,1417,1757,21.74873433,238.704831,385.368382,0.011215411,0.03950388,0.035434792,154,657,4952,407,950.1544304,0.055005501,4545,101.2249443,44.9,6.514476615,292.5,0.870824053,39.1,0.042085661,0.226,25.34660015,0.209231926,0.018301668,10.65374906,0.862527212,10.4745373,25.34660015,39.65217391,3.218066337,2.595332954,209.6673733,19.10309054,11.83283376,0.897042362,0.44044663,82,0.44044663
Langenferner,0.67298546,RGI2000-v7.0-G-11-02875,RGI60-11.01776,0.33,46.47245,10.61391,3.366824183,0.067466255,10.90326544,250,1,606,1948,2268,140.9387489,317.7343381,393.3644593,0.381738864,0.180550081,0.04542547,32,2954.449045,3399,2671,2764.43149,0.389353084,728,248.125426,2.934,0.737184731,2.1629,0.604976142,1.775,0.253101,0.253101,19.23615778,-0.067466255,-0.073992574,6.865435641,0.761374842,4.02677604,19.23615778,0.544554455,0.169404517,0.145502646,2.341442666,1.038603514,0.838916664,0.863140779,0.661540232,332,0.661540232
Lirung,0.493054548,RGI2000-v7.0-G-15-05739,RGI60-15.04045,0.361273,28.24,85.56,0.959412022,0.275408227,0.608764597,303,0.922,1057,3719,4134,220.995139,796.7163421,694.6825339,0.300999996,0.229724028,0.134351405,32.48,4275.60443,7216,3988,4887.102571,0.089096787,3228,376.6627771,8.57,0.558459743,4.786,0.692415403,5.934,0.304772234,0.281,14.76221421,0.275408227,-0.167658778,2.891624137,0.837769605,8.090422218,14.76221421,0.341790918,0.097142511,0.087390663,1.634755414,0.453452479,0.52005482,0.922579164,-0.508837024,186,0.542416891
Morimoto,0.301721993,RGI2000-v7.0-G-15-05844,RGI60-15.04036,0.209,28.25296,85.68152,1.992633634,0.71624641,0.565484117,132,0.706,719,2400,2985,136.9221394,432.5900742,519.0526809,0.367858957,0.170288047,0.03600416,22,4925,5914,4689,5250.147881,0.192653061,1225,263.6109318,4.647,0.296965784,1.38,0.611146977,2.84,0.283286119,0.2,16.47690275,0.71624641,-0.405025969,0.616511007,0.834955278,3.393518318,16.47690275,0.290681502,0.087083333,0.07001675,1.526414946,0.483136374,0.402656624,0.844219265,0.658394559,365,0.658394559
Place1,0.948610217,RGI2000-v7.0-G-02-07366,RGI60-02.01104,0.922,50.426073,-122.601628,2.966269777,0.051672185,-0.486765414,160,1.25,586,1937,2412,120.7878241,397.9409232,556.8838212,0.111811995,0.11994455,0.093922232,11.83,1970.368254,2560,1839,1471.968149,0.182202849,721,188.6940591,3.821,0.789060455,3.015,0.761319026,2.909,0.0056,0.007,22.80287048,0.051672185,0.025152233,11.22404259,0.767711231,4.724373731,22.80287048,1.57337884,0.475993805,0.38225539,7.633219713,2.316926826,1.655641563,0.947725404,0.766282249,206,0.766282249
Place2,1.37196998,RGI2000-v7.0-G-02-07366,RGI60-02.01104,1.301,50.421835,-122.598482,3.095600666,0.051352818,0.624050299,160,1.48,519,1782,2413,97.82099123,350.3251708,552.3666978,0.069999218,0.101570011,0.093922232,11.83,2024.669841,2560,1839,1464.997708,0.257517117,721,188.6940591,3.821,0.789060455,3.015,0.639884847,2.445,0.133783784,0.198,22.80287048,0.051352818,-0.032046741,11.08105988,0.747199921,4.4942866,22.80287048,2.506743738,0.730078563,0.539162868,13.29980389,3.713692616,2.355319401,0.919854586,0.67560163,266,0.67560163
Place3,1.039443002,RGI2000-v7.0-G-02-07366,RGI60-02.01104,1,50.414718,-122.600217,3.200515495,0.054936189,1.187423146,160,1.32,520,1663,2433,115.7764842,325.5521475,555.7249856,0.180839997,0.077634811,0.093922232,11.83,2095,2560,1839,1438.577127,0.355062413,721,188.6940591,3.821,0.789060455,3.015,0.530489401,2.027,0.319006818,0.421089,22.80287048,0.054936189,-0.065232503,11.66167614,0.770075134,5.195587322,22.80287048,1.923076923,0.60132291,0.411015208,8.637332589,3.071704511,1.799451214,0.955865008,0.616582168,241,0.616582168
Place4,0.747593314,RGI2000-v7.0-G-02-07366,RGI60-02.01104,0.649,50.412846,-122.615898,2.953414762,0.057275516,2.73326488,42,0.649,516,1999,2443,101.8814583,405.0623289,569.7287439,0.142651108,0.208300111,0.093922232,11.83,2330,2560,1839,1399.012588,0.680998613,721,188.6940591,3.821,0.789060455,3.015,0.226903952,0.867,0.035439137,0.023,22.80287048,0.057275516,-0.156549157,12.12104226,0.760946272,4.282555632,22.80287048,1.257751938,0.324662331,0.265656979,6.370148316,1.602222556,1.139138593,0.751931994,-0.514523852,189,0.514523852
Pyramid,0.956794306,RGI2000-v7.0-G-15-08331,RGI60-15.03733,0.872,27.96,86.81,2.02148696,0.51873392,1.500371494,30,1.35,568,2665,4480,110.3136415,441.5570944,679.7527753,0.511969373,0.145310308,0.08020885,23.56,5410.542857,7981,4879,5734.527778,0.171354886,3102,167.2597865,18.546,1.420791545,26.35,0.638466516,11.841,0.957037037,1.292,15.88784819,0.51873392,-0.778293587,0.387407216,0.878175893,2.515215853,15.88784819,1.535211268,0.327204503,0.194642857,7.904734067,1.974829554,1.28281933,0.980896275,-0.631173506,1171,0.631173506
Satopanth,0.834902345,RGI2000-v7.0-G-15-00882,RGI60-15.07122,0.750868,30.773251,79.408794,1.191695766,0.470810618,0.115647064,247,0.974,678,3159,3729,142.6107902,544.432349,681.692267,0.219064906,0.088340241,0.124894259,19.7,3909.812698,7056,3755,4712.288884,0.046898727,3301,164.1798468,20.106,2.83696409,57.04,0.67159057,13.503,0.043514374,0.042383,23.02176424,0.470810618,-0.054447866,2.342880954,0.795090321,9.704059736,23.02176424,1.107474926,0.237691675,0.201359078,5.265155595,1.379175946,1.101476482,0.779814928,0.035696188,92,0.722276019
Schiaparelli,1.591182481,RGI2000-v7.0-G-17-15343,RGI60-17.03160,1.312,-54.4,-70.87,3.904934919,0.404703915,0.748637412,90,2.05,432,1852,2178,65.22922937,334.7193623,372.2978877,0.060335231,0.096180701,0.033154452,13.85,196.5348101,1953,4.79,327.3394232,0.098421017,1948.21,179.8735112,10.831,2.288828363,24.7903,0.850336996,9.21,0.174910732,0.358567,6.91114226,0.404703915,-0.302976492,6.270980774,5.522759615,7.15007539,6.91114226,3.037037037,0.708423326,0.602387511,20.11368236,3.91970154,3.524059747,0.981223558,-0.078241452,581,0.102271073
Southcol,0.491730407,RGI2000-v7.0-G-15-08331,RGI60-15.03733,1,27.9719,86.9295,2.995516751,0.079802943,-0.646924288,257,1.04,1260,3640,4097,248.6053557,842.1856064,758.7913968,0.530210257,0.295326484,0.08141589,23.56,7905,7981,4879,6003.07342,0.975499678,3102,167.2597865,18.546,1.420791545,26.35,0.017308314,0.321,1.023076923,1.064,15.88784819,0.079802943,0.051626462,-1.541035886,0.810962081,-13.37092673,15.88784819,0.793650794,0.274725275,0.244081035,4.022439489,1.187386714,1.317885264,0.824751989,0.153397714,416,0.153397714
Trakarding,1.795847557,RGI2000-v7.0-G-15-08533,,0.29821,27.843,86.487,1.604359911,0.467588695,1.47500911,52,0.718,594,2471,3018,136.3780582,430.8702658,514.7052085,0.363928506,0.324721133,0.121461933,16.99,4820.895238,6677,4545,5252.826697,0.129406772,2132,119.3127763,17.869,1.795847557,32.09,0.981308411,17.535,0.908300836,0.65216,13.99930349,0.467588695,-0.689697584,3.270675522,0.752186069,4.58364122,13.99930349,0.502037037,0.120683934,0.098810471,2.186642074,0.692110883,0.579380187,0.898765118,0.253487774,487,0.297959242
Weart1,1.327799967,RGI2000-v7.0-G-02-07402,RGI60-02.00651,1.175,50.155944,-122.760257,3.451063662,0.076404804,2.986814841,200,1.64,493,1537,2461,89.08393535,250.2981074,458.4479787,0.136252262,0.106136563,0.075623989,11.88,2164.47619,2759,1655,1763.393993,0.461482056,1104,169.7677995,6.503,1.247270491,8.111,0.57050592,3.71,0.108536585,0.178,21.41901511,0.076404804,-0.228207002,10.83290148,0.590052812,4.034794799,21.41901511,2.38336714,0.764476252,0.477448192,13.18980796,4.694402256,2.562995268,0.908225879,0.897407948,58,0.897407948
Weart2,0.75,RGI2000-v7.0-G-02-07402,RGI60-02.00651,0.7833,50.138823,-122.775232,2.462002315,0.10081188,2.029172731,200,1.45,557,1759,2417,96.9336803,336.4668704,464.1533191,0.271143132,0.112143755,0.075623989,11.88,2298.203822,2759,1655,1782.265945,0.582612158,1104,169.7677995,6.503,1.247270491,8.111,0.227433492,1.479,0.05032,0.072964,21.41901511,0.10081188,-0.204564718,9.087633988,0.62058038,4.754818673,21.41901511,1.406283662,0.445309835,0.324079437,8.08078263,2.328015234,1.687588923,0.826287901,0.506855882,58,0.506855882
Weissee,0.56680876,RGI2000-v7.0-G-11-03239,RGI60-11.00770,0.63,46.872909,10.714437,3.623728937,0.135515168,9.919951922,85,0.63,598,1756,2073,130.7809806,323.0958214,375.1742361,0.199219833,0.204736891,0.052710766,353,3507,3486,2113,2701.89658,1.015294975,1373,175.5081171,7.823,2.137568708,16.7222,0.018151604,0.142,0.044444444,0.028,20.45475584,-0.135515168,-0.281878065,2.880352907,0.718197611,0.337520629,20.45475584,1.053511706,0.358769932,0.303907381,4.817214224,1.949885942,1.679219785,0.968893087,-0.167412371,122,0.167412371
Yala,2.184,RGI2000-v7.0-G-15-05917,RGI60-15.03954,0.648,28.23,85.62,1.1066266,0.045668389,3.47234691,36,0.648,661,2862,3296,156.4211878,604.3563476,585.4899419,0.280691084,0.29706502,0.057457383,22.72,5213.642405,5644,5080,5007.32137,0.236954619,564,258.2417582,2.184,0.94047619,2.054,0.22481685,0.491,0.433875,0.281151,14.76221421,0.045668389,-0.158576491,3.064355971,0.815173018,1.208229184,14.76221421,0.980332829,0.226415094,0.196601942,4.142661292,1.072215097,1.106765383,0.257793744,0.343787242,464,0.381350466
