glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,score,mean_along_valley%,data_length_days,mean_abs_along_valley%
Morimoto,RGI2000-v7.0-G-15-05844,132,1.807,0.706,,,,0.209,28.25296,85.68152,51,358,2703,4186,7491,1.992633634,12.92768347,90.90092999,495.5043496,540.7106316,1462.869521,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,90,22,4925,5914,4689,4.647,1.38,0.296965784,0.209,,2.84,0.2,16.47690275,0.71624641,0.565484117,0.71624641,-0.405025969,0.616511007,0.834955278,3.393518318,16.47690275,0.388853023,1,4919.709614,0.844219265,0.658394559,365,0.658394559
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,0.87,1.94,0,1.412,1.412,47.0839,12.3634,37,394,1968,2547,3207,2.414707718,11.96332286,89.48093625,332.3447284,480.9654033,600.6888984,0.003207142,0.79863551,0.79863551,0.601815023,0.601815023,210.5,17.2,2976,3407,2644,3.066,3.01,0.98173516,1.412,,2.166,1.238,19.38858914,0.095292606,-0.454598675,0.095292606,0.043319892,8.275978504,0.836426009,4.089488719,19.38858914,0.474559687,0,2975.566272,0.666865017,-0.425612797,50,0.430175237
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1,1.3,0.922,50.426073,-122.601628,6,178,2100,2423,2824,2.966269777,2.325880956,37.77694243,489.790308,566.7144807,555.0690409,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,1970.368254,2560,1839,3.821,3.015,0.789060455,0.922,,2.909,0.007,22.80287048,0.053731061,0.429346854,0.053731061,-0.023069262,11.22367064,0.767582614,4.724373731,22.80287048,0.238942685,1,1951.20486,0.957568536,0.766282249,206,0.766282249
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1,1.63,1.301,50.421835,-122.598482,10,146,2091,2498,2843,3.095600666,3.596873642,31.65912403,442.9990809,567.8371143,555.6863897,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2024.669841,2560,1839,3.821,3.015,0.789060455,1.301,,2.445,0.198,22.80287048,0.048874324,1.502945932,0.048874324,-0.073455466,11.07998458,0.74707373,4.4942866,22.80287048,0.362732269,1,2011.009024,0.909400506,0.67560163,266,0.67560163
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0,2.9,0.906,50.414718,-122.600217,17,401,2008,2534,2843,3.200515495,4.904646323,59.81428895,379.877652,580.9377072,556.3424806,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2095,2560,1839,3.821,3.015,0.789060455,0.906,,2.027,0.421089,22.80287048,0.049350833,2.248676201,0.049350833,-0.110974043,11.66051629,0.770158292,5.195587322,22.80287048,0.496990317,1,2091.599605,0.93752468,0.616582168,241,0.616582168
Place4,RGI2000-v7.0-G-02-07366,42,2.954,0.649,,,,0.649,50.412846,-122.615898,10,343,2152,2462,2843,2.953414762,3.291402943,64.53562702,385.2287578,597.8875535,557.1139097,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,21.4,11.83,2330,2560,1839,3.821,3.015,0.789060455,0.649,,0.867,0.023,22.80287048,0.045018479,4.162930104,0.045018479,-0.18740878,12.11855513,0.760888839,4.282555632,22.80287048,0.773096048,1,2309.265577,0.697638685,-0.514523852,189,0.514523852
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,1.35,1.15,1,2.94,0.872,27.99,86.83,59,428,2927,4529,8265,2.02148696,16.45020897,90.7405461,449.5057654,675.3717621,1200.63798,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,5410.542857,7981,4879,18.546,26.35,1.420791545,0.872,,11.841,1.292,15.88784819,0.516872119,1.497276044,0.516872119,-0.773900241,0.289305109,0.878175893,2.515215853,15.88784819,0.298986304,0,5406.767993,0.981013745,-0.631173506,1171,0.631173506
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.974,1.459,1,1.2,0.750868,30.773251,79.408794,32,420,3150,4318,7148,1.191695766,8.576630676,64.91782094,565.2783277,729.6095362,1439.995984,0.055348579,-0.573576436,-0.573576436,-0.819152044,-0.819152044,34.36,19.7,3909.812698,7056,3755,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,23.02176424,0.470810618,0.115647064,0.470810618,-0.054447866,2.342880954,0.795090321,9.704059736,23.02176424,0.058987367,1,3900.70784,0.779814928,0.035696188,92,0.722276019
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1,2.23,1.581,-54.4,-70.87,10,105,2178,2180,2293,3.904934919,2.869560071,18.40521817,403.5579852,383.2407779,266.6679765,0.012010698,0.48480962,0.48480962,-0.874619707,-0.874619707,343,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,6.91114226,0.404703915,0.748637412,0.404703915,-0.302976492,6.270980774,5.522759615,7.15007539,6.91114226,0.154833349,0,172.6333897,0.981223558,-0.078241452,581,0.102271073
Southcol,RGI2000-v7.0-G-15-08331,257,18.225,1.04,,,,1,27.9719,86.9295,72,575,3760,4497,8322,2.995516751,20.62528409,121.4592227,855.5799613,718.8731727,1281.559884,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,7905,7981,4879,18.546,26.35,1.420791545,1,,0.321,1.064,15.88784819,0.079802943,-0.646924288,0.079802943,0.051626462,-1.541035886,0.810962081,-13.37092673,15.88784819,0.982691686,0,7935.570178,0.824751989,0.153397714,416,0.153397714
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.718,0.96,1,1.83,0.29821,27.843,86.487,49,351,2557,3258,8307,1.604359911,16.06670124,92.04592469,467.7578452,532.7034206,1601.199158,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,327,16.99,4820.895238,6677,4545,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,13.99930349,0.467588695,1.47500911,0.467588695,-0.689697584,3.270675522,0.752186069,4.58364122,13.99930349,0.024055627,1,4818.349591,0.898765118,0.253487774,487,0.297959242
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,1.64,1.46,1,1.7,1.325,50.155944,-122.760257,22,199,1717,2553,2953,3.451063662,7.559916914,39.49202282,277.2470801,453.9096867,573.4797648,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,14.18,11.88,2164.47619,2759,1655,6.503,8.111,1.247270491,1.325,,3.71,0.178,21.41901511,0.057413349,4.788533654,0.057413349,-0.274925755,10.82744412,0.589627195,4.034794799,21.41901511,0.450407504,1,2156.297236,0.858399944,0.897407948,58,0.897407948
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0,1.66,0.683,50.138823,-122.775232,11,225,1859,2518,2953,2.462002315,4.099457959,39.30963741,351.4318799,482.4784122,571.3954359,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,14.18,11.88,2298.203822,2759,1655,6.503,8.111,1.247270491,0.683,,1.479,0.072964,21.41901511,0.085393645,2.963515397,0.085393645,-0.25306538,9.0857276,0.620433208,4.754818673,21.41901511,0.785483623,1,2310.925466,0.75478022,0.506855882,58,0.506855882
Yala,RGI2000-v7.0-G-15-05917,36,1.354,0.648,0.94047619,0,0.648,0.648,28.23,85.62,17,486,2872,3516,7538,1.1066266,5.661762584,112.9249811,609.2177873,555.1936894,1546.928357,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,225.8,22.72,5213.642405,5644,5080,2.184,2.054,0.94047619,0.648,,0.491,0.281151,14.76221421,0.045668389,3.47234691,0.045668389,-0.158576491,3.064355971,0.815173018,1.208229184,14.76221421,0.61996337,1,5202.667983,0.257793744,0.343787242,464,0.381350466
