glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,rel_distancefromcenterline,rel_distancefromterminus,channel_width_100m_from_lowest_point,lat,lon,aspect_ratio_relief,aspect_ratio_stddev,relief_10,mean_wind_obs,stddev_10,Slope,aspect_eastness_1km,aspect_northness_1km,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev,mean_along_valley%,data_length_days,mean_abs_along_valley%
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,1.422988506,0.474559687,0.87,47.0839,12.3634,2.262068966,0.382005435,1968,2.414707718,332.3447284,0.003207142,0.79863551,0.601815023,17.2,2976,3407,2644,3.066,3.01,0.98173516,2.166,1.238,19.38858914,0.095292606,-0.454598675,0.095292606,0.043319892,8.275978504,0.836426009,4.089488719,19.38858914,0.474559687,0,2975.566272,-0.425612797,50,0.430175237
Place1,RGI2000-v7.0-G-02-07366,160,0.913,0.0056,0.238942685,1.25,50.426073,-122.601628,1.68,0.391832246,2100,2.966269777,489.790308,0.02160316,-0.882947593,-0.469471563,11.83,1970.368254,2560,1839,3.821,3.015,0.789060455,2.909,0.007,22.80287048,0.053731061,0.429346854,0.053731061,-0.023069262,11.22367064,0.767582614,4.724373731,22.80287048,0.238942685,1,1951.20486,0.766282249,206,0.766282249
Place2,RGI2000-v7.0-G-02-07366,160,1.386,0.133783784,0.362732269,1.48,50.421835,-122.598482,1.412837838,0.299323703,2091,3.095600666,442.9990809,0.02160316,-0.882947593,-0.469471563,11.83,2024.669841,2560,1839,3.821,3.015,0.789060455,2.445,0.198,22.80287048,0.048874324,1.502945932,0.048874324,-0.073455466,11.07998458,0.74707373,4.4942866,22.80287048,0.362732269,1,2011.009024,0.67560163,266,0.67560163
Place3,RGI2000-v7.0-G-02-07366,160,1.899,0.319006818,0.496990317,1.32,50.414718,-122.600217,1.521212121,0.2877861,2008,3.200515495,379.877652,0.02160316,-0.882947593,-0.469471563,11.83,2095,2560,1839,3.821,3.015,0.789060455,2.027,0.421089,22.80287048,0.049350833,2.248676201,0.049350833,-0.110974043,11.66051629,0.770158292,5.195587322,22.80287048,0.496990317,1,2091.599605,0.616582168,241,0.616582168
Place4,RGI2000-v7.0-G-02-07366,42,2.954,0.035439137,0.773096048,0.649,50.412846,-122.615898,3.31587057,0.593572816,2152,2.953414762,385.2287578,0.02160316,-0.882947593,-0.469471563,11.83,2330,2560,1839,3.821,3.015,0.789060455,0.867,0.023,22.80287048,0.045018479,4.162930104,0.045018479,-0.18740878,12.11855513,0.760888839,4.282555632,22.80287048,0.773096048,1,2309.265577,-0.514523852,189,0.514523852
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,0.957037037,0.298986304,1.35,27.99,86.83,2.168148148,0.332967234,2927,2.02148696,449.5057654,0.040730692,-0.139173101,-0.990268069,23.56,5410.542857,7981,4879,18.546,26.35,1.420791545,11.841,1.292,15.88784819,0.516872119,1.497276044,0.516872119,-0.773900241,0.289305109,0.878175893,2.515215853,15.88784819,0.298986304,0,5406.767993,-0.631173506,1171,0.631173506
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.043514374,0.058987367,0.974,30.773251,79.408794,3.234086242,0.580367893,3150,1.191695766,565.2783277,0.055348579,-0.573576436,-0.819152044,19.7,3909.812698,7056,3755,20.106,57.04,2.83696409,13.503,0.042383,23.02176424,0.470810618,0.115647064,0.470810618,-0.054447866,2.342880954,0.795090321,9.704059736,23.02176424,0.058987367,1,3900.70784,0.035696188,92,0.722276019
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,0.174910732,0.154833349,2.05,-54.4,-70.87,1.062439024,0.196857554,2178,3.904934919,403.5579852,0.012010698,0.48480962,-0.874619707,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,9.21,0.358567,6.91114226,0.404703915,0.748637412,0.404703915,-0.302976492,6.270980774,5.522759615,7.15007539,6.91114226,0.154833349,0,172.6333897,-0.078241452,581,0.102271073
Southcol,RGI2000-v7.0-G-15-08331,257,18.225,1.023076923,0.982691686,1.04,27.9719,86.9295,3.615384615,0.82267304,3760,2.995516751,855.5799613,0.040730692,-0.139173101,-0.990268069,23.56,7905,7981,4879,18.546,26.35,1.420791545,0.321,1.064,15.88784819,0.079802943,-0.646924288,0.079802943,0.051626462,-1.541035886,0.810962081,-13.37092673,15.88784819,0.982691686,0,7935.570178,0.153397714,416,0.153397714
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.908300836,0.024055627,0.718,27.843,86.487,3.561281337,0.651473322,2557,1.604359911,467.7578452,0.040730692,-0.139173101,-0.990268069,16.99,4820.895238,6677,4545,17.869,32.09,1.795847557,17.535,0.65216,13.99930349,0.467588695,1.47500911,0.467588695,-0.689697584,3.270675522,0.752186069,4.58364122,13.99930349,0.024055627,1,4818.349591,0.253487774,487,0.297959242
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,0.108536585,0.450407504,1.64,50.155944,-122.760257,1.04695122,0.169053098,1717,3.451063662,277.2470801,0.02160316,-0.882947593,-0.469471563,11.88,2164.47619,2759,1655,6.503,8.111,1.247270491,3.71,0.178,21.41901511,0.057413349,4.788533654,0.057413349,-0.274925755,10.82744412,0.589627195,4.034794799,21.41901511,0.450407504,1,2156.297236,0.897407948,58,0.897407948
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,0.05032,0.785483623,1.45,50.138823,-122.775232,1.282068966,0.242366814,1859,2.462002315,351.4318799,0.02160316,-0.882947593,-0.469471563,11.88,2298.203822,2759,1655,6.503,8.111,1.247270491,1.479,0.072964,21.41901511,0.085393645,2.963515397,0.085393645,-0.25306538,9.0857276,0.620433208,4.754818673,21.41901511,0.785483623,1,2310.925466,0.506855882,58,0.506855882
Yala,RGI2000-v7.0-G-15-05917,36,1.354,0.433875,0.61996337,0.648,28.23,85.62,4.432098765,0.940150906,2872,1.1066266,609.2177873,0.028148301,-0.224951054,-0.974370065,22.72,5213.642405,5644,5080,2.184,2.054,0.94047619,0.491,0.281151,14.76221421,0.045668389,3.47234691,0.045668389,-0.158576491,3.064355971,0.815173018,1.208229184,14.76221421,0.61996337,1,5202.667983,0.343787242,464,0.381350466
